country,density,densityMi,pop2021,area
Macau,21946.4667,56841.3487,658.394,30
Monaco,19755.5,51166.745,39.511,2
Singapore,8305.1915,21510.4461,5896.686,710
Hong Kong,6841.3134,17719.0017,7552.81,1104
Gibraltar,5616.3333,14546.3033,33.698,6
Bahrain,2285.3542,5919.0675,1748.296,765
Maldives,1812.0567,4693.2268,543.617,300
Malta,1401.2152,3629.1473,442.784,316
Sint Maarten,1276.8235,3306.9729,43.412,34
Bermuda,1149.8148,2978.0204,62.09,54
Bangladesh,1126.9465,2918.7915,166303.498,147570
Palestine,839.6701,2174.7455,5222.748,6220
Vatican City,800,2072,0.8,1
Mayotte,747.3663,1935.6787,279.515,374
Saint Martin,740.2642,1917.2842,39.234,53
Barbados,669.0953,1732.957,287.711,430
Taiwan*,659.1056,1707.0836,23855.01,36193
Lebanon,647.6412,1677.3908,6769.146,10452
Mauritius,624.2319,1616.7605,1273.433,2040
Aruba,595.5778,1542.5464,107.204,180
San Marino,557.6557,1444.3284,34.017,61
Nauru,517.9048,1341.3733,10.876,21
"Korea, South",511.9767,1326.0197,51305.186,100210
Rwanda,504.082,1305.5725,13276.513,26338
Comoros,477.1488,1235.8153,888.451,1862
Saint Barthelemy,471.7619,1221.8633,9.907,21
Tuvalu,458.8846,1188.5112,11.931,26
Burundi,440.3044,1140.3884,12255.433,27834
India,423.8391,1097.7432,1393409.038,3287590
Israel,423.1957,1096.0768,8789.774,20770
Haiti,415.9166,1077.2239,11541.685,27750
Netherlands,410.3488,1062.8035,17173.099,41850
Belgium,381.0379,986.8882,11632.326,30528
Curacao,371.1667,961.3217,164.798,444
Reunion,359.0944,930.0545,901.686,2511
Japan,333.5295,863.8414,126050.804,377930
Martinique,332.2207,860.4517,374.745,1128
Marshall Islands,329.337,852.9829,59.61,181
Grenada,328.5494,850.943,113.021,344
Sri Lanka,327.6529,848.6211,21497.31,65610
Philippines,324.3638,840.1022,111046.913,342353
Puerto Rico,318.8563,825.8377,2828.255,8870
Guam,309.98,802.8481,170.179,549
El Salvador,309.7999,802.3817,6518.499,21041
United States Virgin Islands,300.3631,777.9405,104.226,347
Saint Lucia,299.3506,775.3182,184.4,616
Vietnam,296.3927,767.6572,98168.833,331212
Saint Vincent and the Grenadines,286.0231,740.7999,111.263,389
United Kingdom,280.8033,727.2805,68207.116,242900
American Samoa,276.8844,717.1307,55.1,199
Trinidad and Tobago,273.5624,708.5266,1403.375,5130
Jamaica,270.5362,700.6887,2973.463,10991
Pakistan,255.3542,661.3674,225199.937,881912
Qatar,252.937,655.1068,2930.528,11586
Cayman Islands,251.8826,652.3759,66.497,264
Guadeloupe,245.7125,636.3955,400.02,1628
Luxembourg,245.4811,635.7959,634.814,2586
Kuwait,242.9313,629.1921,4328.55,17818
Liechtenstein,239.0625,619.1719,38.25,160
Germany,234.9403,608.4954,83900.473,357114
Gambia,232.664,602.5996,2486.945,10689
Sao Tome and Principe,231.7095,600.1277,223.368,964
Nigeria,228.8461,592.7114,211400.708,923768
Dominican Republic,225.056,582.8952,10953.703,48671
Antigua and Barbuda,223.3733,578.5369,98.731,442
Seychelles,218.823,566.7516,98.908,452
"Korea, North",214.7625,556.2348,25887.041,120538
Switzerland,211.1107,546.7767,8715.494,41284
Saint Kitts and Nevis,205.1494,531.337,53.544,261
Nepal,201.6219,522.2008,29674.92,147181
British Virgin Islands,201.4636,521.7907,30.421,151
Italy,200.3328,518.8619,60367.477,301336
Uganda,195.0881,505.2782,47123.531,241550
Guatemala,167.6006,434.0855,18249.86,108889
Anguilla,166.1209,430.2531,15.117,91
Malawi,165.8256,429.4884,19647.684,118484
Micronesia,165.604,428.9143,116.254,702
Andorra,165.2885,428.0971,77.355,468
Kiribati,149.6819,387.6761,121.392,811
Isle of Man,149.3182,386.7341,85.41,572
Togo,149.3044,386.6984,8478.25,56785
China,148.7815,385.3441,1444216.107,9706961
Indonesia,145.1046,375.821,276361.783,1904569
Tonga,142.9183,370.1585,106.76,747
Cabo Verde,139.3251,360.8519,561.898,4033
Thailand,136.3245,353.0806,69950.85,513120
Czech Republic,135.9862,352.2044,10724.555,78865
Denmark,134.8981,349.386,5813.298,43094
Ghana,133.0304,344.5486,31732.129,238533
Cyprus,131.4003,340.3267,1215.584,9251
Northern Mariana Islands,124.8211,323.2867,57.917,464
Poland,120.8812,313.0822,37797.005,312679
United Arab Emirates,119.5106,309.5325,9991.089,83600
Republic of Moldova,118.892,307.9303,4024.019,33846
France,118.5912,307.1512,65426.179,551695
Azerbaijan,118.0524,305.7558,10223.342,86600
Jordan,114.9406,297.6961,10269.021,89342
Tokelau,114.4167,296.3392,1.373,12
Sierra Leone,113.484,293.9236,8141.343,71740
Slovakia,111.3592,288.4203,5460.721,49037
Benin,110.556,286.3401,12451.04,112622
Portugal,110.4129,285.9694,10167.925,92090
Turkey,108.5335,281.1018,85042.738,783562
Austria,107.8212,279.2569,9043.07,83871
Ethiopia,106.7429,276.4642,117876.227,1104300
Egypt,104.0035,269.3691,104258.327,1002450
Hungary,103.562,268.2255,9634.164,93028
Cuba,102.995,266.7571,11317.505,109884
Slovenia,102.5366,265.5697,2078.724,20273
Costa Rica,100.5685,260.4725,5139.052,51100
Albania,99.9351,258.8318,2872.933,28748
Armenia,99.7925,258.4625,2968.127,29743
Malaysia,99.0807,256.619,32776.194,330803
Syria,98.6916,255.6111,18275.702,185180
Serbia,98.432,254.9389,8697.55,88361
Dominica,96.0945,248.8849,72.167,751
Kenya,94.743,245.3843,54985.698,580367
Iraq,93.9488,243.3274,41179.35,438317
Cambodia,93.6086,242.4463,16946.438,181035
Spain,92.3833,239.2728,46745.216,505992
Timor-Leste,90.3505,234.0077,1343.873,14874
Honduras,89.4552,231.6889,10062.991,112492
Senegal,87.4142,226.4028,17196.301,196722
Ivory Coast,83.8968,217.2928,27053.629,322463
Morocco,83.6296,216.6006,37344.795,446550
Myanmar,81.0047,209.8022,54806.012,676578
North Macedonia,80.9963,209.7804,2082.658,25713
Romania,80.237,207.8138,19127.774,238391
Burkina Faso,78.7535,203.9715,21497.096,272967
Greece,78.5722,203.502,10370.744,131990
Wallis and Futuna,78.1268,202.3483,11.094,142
Brunei,76.5884,198.3639,441.532,5765
Uzbekistan,75.8511,196.4542,33935.763,447400
Cook Islands,74.428,192.7684,17.565,236
Tunisia,72.9525,188.9471,11935.766,163610
Croatia,72.1216,186.795,4081.651,56594
Ukraine,72.0246,186.5436,43466.819,603500
Lesotho,71.1276,184.2205,2159.079,30355
Ireland,70.9078,183.6513,4982.907,70273
Samoa,70.4254,182.4018,200.149,2842
Tajikistan,68.1316,176.4608,9749.627,143100
French Polynesia,67.8018,175.6066,282.53,4167
Eswatini,67.5168,174.8686,1172.362,17364
Mexico,66.3123,171.7488,130262.216,1964375
United Republic of Tanzania,65.0717,168.5358,61498.437,945087
Ecuador,64.6164,167.3565,17888.475,276841
Bosnia and Herzegovina,63.7284,165.0565,3263.466,51209
Bulgaria,62.1999,161.0977,6896.663,110879
Afghanistan,61.0757,158.1862,39835.428,652230
Panama,58.098,150.4739,4381.579,75417
Yemen,57.7509,149.5749,30490.64,527968
Cameroon,57.261,148.3059,27224.265,475442
Georgia,57.0985,147.8851,3979.765,69700
